Order Date,Month,Product Category,Subcategory,Region,Province,Customer Segment,Units,Sales,Profit,Discount
2010-08-07,2010-08-01,Furniture,Chairs & Chairmats,Northwest Territories,Northwest Territories,Home Office,24,5407.31,1068.48,0.04
2009-03-03,2009-03-01,Furniture,Office Furnishings,Northwest Territories,Northwest Territories,Corporate,34,74.3,-129.01,0.08
2010-02-09,2010-02-01,Technology,Copiers and Fax,Northwest Territories,Northwest Territories,Small Business,44,21506.77,1260.51,0.06
2010-02-09,2010-02-01,Office Supplies,Storage & Organization,Northwest Territories,Northwest Territories,Small Business,28,669.02,-1274.02,0.02
2009-01-17,2009-01-01,Office Supplies,Labels,Northwest Territories,Northwest Territories,Small Business,40,1143.49,-193.44,0.08
2009-01-17,2009-01-01,Office Supplies,Pens & Art Supplies,Northwest Territories,Northwest Territories,Small Business,46,78.08,-43.1,0.01
2010-08-30,2010-08-01,Furniture,Chairs & Chairmats,Northwest Territories,Northwest Territories,Corporate,19,5297.47,-158.93,0.02
2010-08-30,2010-08-01,Office Supplies,Paper,Northwest Territories,Northwest Territories,Corporate,20,95.3,29.68,0.0
2009-09-11,2009-09-01,Office Supplies,Storage & Organization,Northwest Territories,Northwest Territories,Small Business,40,460.68,-116.76,0.01
2009-09-11,2009-09-01,Technology,Telephones and Communication,Northwest Territories,Northwest Territories,Small Business,49,318.7585,-160.95,0.1
2009-07-16,2009-07-01,Office Supplies,Appliances,Northwest Territories,Northwest Territories,Home Office,47,1020.61,-209.61,0.04
2012-11-15,2012-11-01,Office Supplies,Paper,Northwest Territories,Northwest Territories,Corporate,44,268.34,-240.83,0.09
2011-09-10,2011-09-01,Office Supplies,Paper,Northwest Territories,Northwest Territories,Small Business,6,209.0,12.32,0.08
2011-04-10,2011-04-01,Office Supplies,Binders and Binder Accessories,Northwest Territories,Northwest Territories,Small Business,30,501.32,-119.08,0.04
2011-04-10,2011-04-01,Office Supplies,Paper,Northwest Territories,Northwest Territories,Small Business,23,275.16,43.35,0.05
2011-04-10,2011-04-01,Office Supplies,Paper,Northwest Territories,Northwest Territories,Small Business,37,1302.99,545.49,0.02
2011-10-09,2011-10-01,Office Supplies,Binders and Binder Accessories,Northwest Territories,Northwest Territories,Small Business,1,40.1,-16.07,0.09
2011-10-09,2011-10-01,Office Supplies,Binders and Binder Accessories,Northwest Territories,Northwest Territories,Small Business,42,1414.05,161.48,0.09
2012-10-23,2012-10-01,Furniture,Bookcases,Northwest Territories,Northwest Territories,Corporate,34,5350.61,-1059.2,0.09
2012-01-08,2012-01-01,Technology,Computer Peripherals,Northwest Territories,Northwest Territories,Consumer,15,310.87,-21.48,0.07
2010-01-25,2010-01-01,Office Supplies,Appliances,Northwest Territories,Northwest Territories,Home Office,48,9062.73,3122.78,0.09
2010-01-25,2010-01-01,Furniture,Bookcases,Northwest Territories,Northwest Territories,Home Office,27,1584.1,-478.22,0.07
2011-01-27,2011-01-01,Furniture,Office Furnishings,Northwest Territories,Northwest Territories,Home Office,42,283.58,-14.23,0.03
2011-01-27,2011-01-01,Technology,Office Machines,Northwest Territories,Northwest Territories,Home Office,39,5403.37,948.79,0.06
2011-01-27,2011-01-01,Office Supplies,Pens & Art Supplies,Northwest Territories,Northwest Territories,Home Office,35,82.15,-6.33,0.03
2009-08-27,2009-08-01,Office Supplies,Paper,Northwest Territories,Northwest Territories,Small Business,50,2066.16,372.36,0.02
2011-03-17,2011-03-01,Furniture,Chairs & Chairmats,Northwest Territories,Northwest Territories,Corporate,18,4605.36,678.26,0.02
2011-03-17,2011-03-01,Furniture,Office Furnishings,Northwest Territories,Northwest Territories,Corporate,42,1753.51,155.72,0.02
2012-06-06,2012-06-01,Furniture,Office Furnishings,Northwest Territories,Northwest Territories,Small Business,31,426.34,73.53,0.0
2011-04-11,2011-04-01,Furniture,Bookcases,Northwest Territories,Northwest Territories,Home Office,36,1837.44,-1414.41,0.01
2011-04-11,2011-04-01,Furniture,Office Furnishings,Northwest Territories,Northwest Territories,Home Office,36,3722.29,950.68,0.04
2011-04-11,2011-04-01,Office Supplies,Paper,Northwest Territories,Northwest Territories,Home Office,4,28.05,-5.41,0.09
2012-11-06,2012-11-01,Technology,Computer Peripherals,Northwest Territories,Northwest Territories,Corporate,32,311.44,74.07,0.04
2012-11-06,2012-11-01,Furniture,Office Furnishings,Northwest Territories,Northwest Territories,Corporate,17,215.65,77.38,0.01
2012-05-16,2012-05-01,Technology,Computer Peripherals,Northwest Territories,Northwest Territories,Home Office,3,121.12,-118.82,0.1
2012-04-09,2012-04-01,Office Supplies,Storage & Organization,Northwest Territories,Northwest Territories,Corporate,8,300.2,6.41,0.0
2012-04-09,2012-04-01,Technology,Telephones and Communication,Northwest Territories,Northwest Territories,Corporate,29,1364.8025,-183.68,0.07
2012-08-05,2012-08-01,Office Supplies,Paper,Northwest Territories,Northwest Territories,Corporate,19,128.21,-55.13,0.05
2009-07-22,2009-07-01,Office Supplies,Binders and Binder Accessories,Northwest Territories,Northwest Territories,Corporate,9,252.79,58.23,0.09
2010-05-09,2010-05-01,Office Supplies,Pens & Art Supplies,Northwest Territories,Northwest Territories,Small Business,10,50.97,4.45,0.09
2010-05-09,2010-05-01,Office Supplies,"Scissors, Rulers and Trimmers",Northwest Territories,Northwest Territories,Small Business,1,4.99,-3.06,0.04
2009-02-18,2009-02-01,Furniture,Chairs & Chairmats,Northwest Territories,Northwest Territories,Corporate,30,10554.63,1240.25,0.09
2009-02-18,2009-02-01,Furniture,Tables,Northwest Territories,Northwest Territories,Corporate,8,1749.64,-533.23,0.04
2012-06-27,2012-06-01,Furniture,Office Furnishings,Northwest Territories,Northwest Territories,Corporate,47,1943.72,-1003.58,0.03
2012-06-27,2012-06-01,Office Supplies,Pens & Art Supplies,Northwest Territories,Northwest Territories,Corporate,6,18.37,-4.06,0.01
2012-06-27,2012-06-01,Technology,Telephones and Communication,Northwest Territories,Northwest Territories,Corporate,49,6175.777,1881.58,0.07
2010-09-30,2010-09-01,Office Supplies,Paper,Northwest Territories,Northwest Territories,Small Business,6,157.97,-42.38,0.01
2010-04-15,2010-04-01,Office Supplies,Paper,Northwest Territories,Northwest Territories,Consumer,25,144.84,-120.99,0.09
2010-04-15,2010-04-01,Office Supplies,Pens & Art Supplies,Northwest Territories,Northwest Territories,Consumer,20,127.16,12.88,0.09
2011-09-14,2011-09-01,Technology,Office Machines,Northwest Territories,Northwest Territories,Home Office,4,5472.12,-2816.34,0.06
2010-09-21,2010-09-01,Furniture,Chairs & Chairmats,Northwest Territories,Northwest Territories,Small Business,7,1810.67,-541.87,0.09
2010-08-17,2010-08-01,Technology,Computer Peripherals,Northwest Territories,Northwest Territories,Small Business,31,633.56,-158.87,0.09
2009-09-16,2009-09-01,Office Supplies,Paper,Northwest Territories,Northwest Territories,Home Office,27,644.4,-97.28,0.04
2009-06-22,2009-06-01,Furniture,Chairs & Chairmats,Northwest Territories,Northwest Territories,Corporate,7,1211.98,-80.83,0.1
2012-08-28,2012-08-01,Furniture,Chairs & Chairmats,Northwest Territories,Northwest Territories,Consumer,27,3316.08,-514.32,0.08
2011-06-07,2011-06-01,Office Supplies,Paper,Northwest Territories,Northwest Territories,Corporate,48,207.08,-131.82,0.09
2011-06-07,2011-06-01,Office Supplies,Storage & Organization,Northwest Territories,Northwest Territories,Corporate,8,234.28,-65.42,0.09
2011-06-07,2011-06-01,Technology,Telephones and Communication,Northwest Territories,Northwest Territories,Corporate,41,1779.8915,-250.17,0.09
2009-10-09,2009-10-01,Office Supplies,Binders and Binder Accessories,Northwest Territories,Northwest Territories,Corporate,30,114.12,15.73,0.05
2009-10-09,2009-10-01,Technology,Computer Peripherals,Northwest Territories,Northwest Territories,Corporate,15,436.05,-92.58,0.09
2009-10-09,2009-10-01,Technology,Telephones and Communication,Northwest Territories,Northwest Territories,Corporate,49,5247.4835,1465.87,0.0
2010-12-05,2010-12-01,Technology,Telephones and Communication,Northwest Territories,Northwest Territories,Corporate,9,173.417,18.23,0.0
2009-06-07,2009-06-01,Office Supplies,Binders and Binder Accessories,Northwest Territories,Northwest Territories,Small Business,18,23792.93,10951.31,0.0
2009-07-27,2009-07-01,Office Supplies,Appliances,Northwest Territories,Northwest Territories,Corporate,21,256.12,-18.19,0.03
2011-09-05,2011-09-01,Office Supplies,Storage & Organization,Northwest Territories,Northwest Territories,Home Office,30,387.0,-31.45,0.01
2009-01-11,2009-01-01,Technology,Computer Peripherals,Northwest Territories,Northwest Territories,Corporate,31,1143.45,304.42,0.06
2010-08-15,2010-08-01,Technology,Office Machines,Northwest Territories,Northwest Territories,Corporate,2,42.31,-53.08,0.06
2010-08-15,2010-08-01,Office Supplies,Binders and Binder Accessories,Northwest Territories,Northwest Territories,Corporate,11,152.67,12.76,0.04
2009-08-05,2009-08-01,Office Supplies,Pens & Art Supplies,Northwest Territories,Northwest Territories,Small Business,49,82.61,-46.25,0.08
2011-09-17,2011-09-01,Furniture,Chairs & Chairmats,Northwest Territories,Northwest Territories,Home Office,31,789.94,-190.41,0.1
2011-10-22,2011-10-01,Office Supplies,Paper,Northwest Territories,Northwest Territories,Small Business,42,435.24,174.89,0.08
2009-11-14,2009-11-01,Office Supplies,Binders and Binder Accessories,Northwest Territories,Northwest Territories,Small Business,8,473.7,72.51,0.05
2009-11-14,2009-11-01,Technology,Telephones and Communication,Northwest Territories,Northwest Territories,Small Business,33,553.5625,-76.86,0.08
2010-07-03,2010-07-01,Office Supplies,Pens & Art Supplies,Northwest Territories,Northwest Territories,Corporate,32,54.78,-30.54,0.02
2010-07-03,2010-07-01,Office Supplies,Pens & Art Supplies,Northwest Territories,Northwest Territories,Corporate,47,304.83,23.82,0.1
2009-01-30,2009-01-01,Technology,Office Machines,Northwest Territories,Northwest Territories,Consumer,31,16066.85,7416.43,0.07
2012-03-15,2012-03-01,Office Supplies,Pens & Art Supplies,Northwest Territories,Northwest Territories,Home Office,17,618.9,54.92,0.09
2009-08-10,2009-08-01,Technology,Telephones and Communication,Northwest Territories,Northwest Territories,Home Office,35,1665.0395,366.51,0.02
2010-04-01,2010-04-01,Furniture,Office Furnishings,Northwest Territories,Northwest Territories,Consumer,21,1049.79,135.79,0.08
2010-04-01,2010-04-01,Office Supplies,Storage & Organization,Northwest Territories,Northwest Territories,Consumer,16,817.18,103.38,0.1
2010-07-31,2010-07-01,Furniture,Office Furnishings,Northwest Territories,Northwest Territories,Corporate,49,465.83,-79.72,0.1
2009-05-29,2009-05-01,Technology,Telephones and Communication,Northwest Territories,Northwest Territories,Small Business,13,241.706,-92.96,0.0
2010-10-11,2010-10-01,Technology,Telephones and Communication,Northwest Territories,Northwest Territories,Corporate,44,275.91,-162.37,0.1
2010-05-18,2010-05-01,Office Supplies,Envelopes,Northwest Territories,Northwest Territories,Corporate,2,30.83,7.27,0.04
2011-02-08,2011-02-01,Office Supplies,Binders and Binder Accessories,Northwest Territories,Northwest Territories,Consumer,13,121.66,-11.8,0.03
2010-12-07,2010-12-01,Office Supplies,Paper,Northwest Territories,Northwest Territories,Corporate,16,108.42,-50.82,0.02
2010-12-07,2010-12-01,Office Supplies,Labels,Northwest Territories,Northwest Territories,Corporate,27,78.47,17.99,0.06
2009-01-06,2009-01-01,Furniture,Bookcases,Northwest Territories,Northwest Territories,Home Office,30,26133.39,-11053.6,0.04
2012-03-12,2012-03-01,Technology,Office Machines,Northwest Territories,Northwest Territories,Corporate,14,2671.21,636.18,0.06
2010-08-26,2010-08-01,Technology,Computer Peripherals,Northwest Territories,Northwest Territories,Home Office,26,531.66,135.65,0.08
2010-08-26,2010-08-01,Office Supplies,Envelopes,Northwest Territories,Northwest Territories,Home Office,28,317.85,-13.95,0.06
2010-08-26,2010-08-01,Office Supplies,Labels,Northwest Territories,Northwest Territories,Home Office,42,163.08,66.17,0.09
2011-06-20,2011-06-01,Office Supplies,Pens & Art Supplies,Northwest Territories,Northwest Territories,Corporate,38,103.07,-0.95,0.1
2010-08-04,2010-08-01,Technology,Computer Peripherals,Northwest Territories,Northwest Territories,Small Business,1,17.19,-35.34,0.0
2010-08-04,2010-08-01,Technology,Computer Peripherals,Northwest Territories,Northwest Territories,Small Business,27,2689.48,399.93,0.04
2010-08-04,2010-08-01,Office Supplies,Paper,Northwest Territories,Northwest Territories,Small Business,2,15.31,-8.15,0.01
2010-11-23,2010-11-01,Office Supplies,Paper,Northwest Territories,Northwest Territories,Corporate,13,270.63,7.07,0.1
2010-11-23,2010-11-01,Technology,Telephones and Communication,Northwest Territories,Northwest Territories,Corporate,43,6583.913,1459.79,0.09
2009-08-02,2009-08-01,Technology,Office Machines,Northwest Territories,Northwest Territories,Home Office,24,4865.72,1951.3,0.03
2011-08-10,2011-08-01,Furniture,Office Furnishings,Northwest Territories,Northwest Territories,Small Business,23,1003.31,51.9,0.01
2011-08-10,2011-08-01,Furniture,Tables,Northwest Territories,Northwest Territories,Small Business,17,6048.18,1418.36,0.04
2010-05-06,2010-05-01,Technology,Office Machines,Northwest Territories,Northwest Territories,Home Office,41,3051.27,121.48,0.1
2012-06-28,2012-06-01,Furniture,Chairs & Chairmats,Northwest Territories,Northwest Territories,Corporate,47,9633.59,176.67,0.06
2012-06-28,2012-06-01,Furniture,Chairs & Chairmats,Northwest Territories,Northwest Territories,Corporate,26,3758.77,753.61,0.0
2011-03-23,2011-03-01,Furniture,Office Furnishings,Northwest Territories,Northwest Territories,Corporate,6,143.78,75.3,0.04
2011-11-19,2011-11-01,Furniture,Office Furnishings,Northwest Territories,Northwest Territories,Small Business,22,440.92,-65.18,0.05
2012-11-26,2012-11-01,Technology,Office Machines,Northwest Territories,Northwest Territories,Corporate,3,4343.51,-3755.03,0.09
2010-07-29,2010-07-01,Technology,Computer Peripherals,Northwest Territories,Northwest Territories,Corporate,29,593.32,28.99,0.03
2010-07-29,2010-07-01,Office Supplies,Envelopes,Northwest Territories,Northwest Territories,Corporate,26,626.07,185.32,0.03
